排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Neoverse-N1 BIOS AWS Graviton2 AWS Graviton2 CPU @ 2.5GHz,2,2851,5693,2
2,Neoverse-N1 BIOS AWS Graviton2 AWS Graviton2 CPU @ 2.5GHz,16,2848,45383,16
3,Neoverse-N1 BIOS AWS Graviton2 AWS Graviton2 CPU @ 2.5GHz,2,2847,5686,2
4,Neoverse-N1 BIOS AWS Graviton2 AWS Graviton2 CPU @ 2.5GHz,2,2842,5688,2
5,Neoverse-N1 BIOS AWS Graviton2 AWS Graviton2 CPU @ 2.5GHz,2,2839,5690,2
6,Neoverse-N1 BIOS AWS Graviton2 AWS Graviton2 CPU @ 2.5GHz,2,2838,5675,2
7,Neoverse-N1 BIOS AWS Graviton2 AWS Graviton2 CPU @ 2.5GHz,2,2838,5682,2
8,Neoverse-N1 BIOS AWS Graviton2 AWS Graviton2 CPU @ 2.5GHz,2,2829,5682,2
9,Neoverse-N1 BIOS AWS Graviton2 AWS Graviton2 CPU @ 2.5GHz,2,2810,5546,2
10,Neoverse-N1 BIOS AWS Graviton2 AWS Graviton2 CPU @ 2.5GHz,2,2808,5614,2
11,Neoverse-N1 BIOS AWS Graviton2 AWS Graviton2 CPU @ 2.5GHz,2,2805,5561,2
12,Neoverse-N1 BIOS AWS Graviton2 AWS Graviton2 CPU @ 2.5GHz,2,2804,5592,2
13,Neoverse-N1 BIOS AWS Graviton2 AWS Graviton2 CPU @ 2.5GHz,2,2803,5528,2
14,Neoverse-N1 BIOS AWS Graviton2 AWS Graviton2 CPU @ 2.5GHz,2,2803,5602,2
15,Neoverse-N1 BIOS AWS Graviton2 AWS Graviton2 CPU @ 2.5GHz,2,2802,5609,2
16,Neoverse-N1 BIOS AWS Graviton2 AWS Graviton2 CPU @ 2.5GHz,2,2800,5302,2
17,Neoverse-N1 BIOS AWS Graviton2 AWS Graviton2 CPU @ 2.5GHz,2,2799,4123,2
18,Neoverse-N1 BIOS AWS Graviton2 AWS Graviton2 CPU @ 2.5GHz,2,2795,5613,2
19,Neoverse-N1 BIOS AWS Graviton2 AWS Graviton2 CPU @ 2.5GHz,2,2783,5537,2
20,Neoverse-N1 BIOS AWS Graviton2 AWS Graviton2 CPU @ 2.5GHz,2,2766,5562,2
21,Neoverse-N1 BIOS AWS Graviton2 AWS Graviton2 CPU @ 2.5GHz,2,2398,5579,2
