排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Neoverse-N1 BIOS Ampere(R) Altra(R) Processor None CPU @ 3.0GHz,4,3420,13659,4
2,Neoverse-N1 BIOS Ampere(R) Altra(R) Processor None CPU @ 3.0GHz,4,3419,13637,4
3,Neoverse-N1 BIOS Ampere(R) Altra(R) Processor None CPU @ 3.0GHz,2,3407,6838,2
4,Neoverse-N1 BIOS Ampere(R) Altra(R) Processor None CPU @ 3.0GHz,2,3407,6832,2
5,Neoverse-N1 BIOS Ampere(R) Altra(R) Processor None CPU @ 3.0GHz,2,3421,6831,2
6,Neoverse-N1 BIOS Ampere(R) Altra(R) Processor None CPU @ 3.0GHz,2,3419,6829,2
7,Neoverse-N1 BIOS Ampere(R) Altra(R) Processor None CPU @ 3.0GHz,2,3423,6828,2
8,Neoverse-N1 BIOS Ampere(R) Altra(R) Processor None CPU @ 3.0GHz,2,3409,6828,2
9,Neoverse-N1 BIOS Ampere(R) Altra(R) Processor None CPU @ 3.0GHz,2,3419,6828,2
10,Neoverse-N1 BIOS Ampere(R) Altra(R) Processor None CPU @ 3.0GHz,2,3418,6823,2
11,Neoverse-N1 BIOS Ampere(R) Altra(R) Processor None CPU @ 3.0GHz,2,3413,6820,2
12,Neoverse-N1 BIOS Ampere(R) Altra(R) Processor None CPU @ 3.0GHz,2,3419,6820,2
13,Neoverse-N1 BIOS Ampere(R) Altra(R) Processor None CPU @ 3.0GHz,2,3407,6813,2
14,Neoverse-N1 BIOS Ampere(R) Altra(R) Processor None CPU @ 3.0GHz,2,3419,6810,2
15,Neoverse-N1 BIOS Ampere(R) Altra(R) Processor None CPU @ 3.0GHz,2,3419,6796,2
16,Neoverse-N1 BIOS Ampere(R) Altra(R) Processor None CPU @ 3.0GHz,2,3417,6752,2
17,Neoverse-N1 BIOS Ampere(R) Altra(R) Processor None CPU @ 3.0GHz,2,3408,6746,2
18,Neoverse-N1 BIOS Ampere(R) Altra(R) Processor None CPU @ 3.0GHz,2,3413,6736,2
19,Neoverse-N1 BIOS Ampere(R) Altra(R) Processor None CPU @ 3.0GHz,2,3363,6730,2
20,Neoverse-N1 BIOS Ampere(R) Altra(R) Processor None CPU @ 3.0GHz,2,3421,6726,2
21,Neoverse-N1 BIOS Ampere(R) Altra(R) Processor None CPU @ 3.0GHz,2,3364,6724,2
22,Neoverse-N1 BIOS Ampere(R) Altra(R) Processor None CPU @ 3.0GHz,2,3364,6715,2
23,Neoverse-N1 BIOS Ampere(R) Altra(R) Processor None CPU @ 3.0GHz,2,3361,6711,2
24,Neoverse-N1 BIOS Ampere(R) Altra(R) Processor None CPU @ 3.0GHz,2,3360,6700,2
25,Neoverse-N1 BIOS Ampere(R) Altra(R) Processor None CPU @ 3.0GHz,2,3364,6699,2
26,Neoverse-N1 BIOS Ampere(R) Altra(R) Processor None CPU @ 3.0GHz,2,3369,6680,2
27,Neoverse-N1 BIOS Ampere(R) Altra(R) Processor None CPU @ 3.0GHz,2,3362,6679,2
28,Neoverse-N1 BIOS Ampere(R) Altra(R) Processor None CPU @ 3.0GHz,2,3415,5192,2
