排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3566,14057,4
2,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3449,13697,4
3,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3421,13652,4
4,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3421,13637,4
5,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3420,13624,4
6,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3420,13593,4
7,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3420,13217,4
8,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3419,13612,4
9,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3418,13515,4
10,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3418,13517,4
11,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3418,13631,4
12,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3418,13524,4
13,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3417,13494,4
14,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3417,13380,4
15,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3417,13406,4
16,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,2,3417,6808,2
17,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3417,13269,4
18,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3417,13493,4
19,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,2,3417,6828,2
20,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3417,13619,4
21,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3417,13663,4
22,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3417,13594,4
23,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3417,13570,4
24,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,3,3417,10188,3
25,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3416,13644,4
26,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3416,13562,4
27,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,2,3416,6792,2
28,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,2,3416,6824,2
29,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3416,13659,4
30,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,3,3416,10072,3
31,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,3,3416,10192,3
32,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3416,13537,4
33,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,2,3416,6702,2
34,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3415,13600,4
35,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,2,3415,6820,2
36,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3415,13538,4
37,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3415,13544,4
38,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,2,3415,6824,2
39,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3415,13630,4
40,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3415,13603,4
41,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3415,13481,4
42,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3415,13565,4
43,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3415,13560,4
44,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,3,3415,10137,3
45,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3415,13583,4
46,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3415,13454,4
47,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,2,3415,6788,2
48,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,2,3415,6811,2
49,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3415,13012,4
50,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,2,3415,6762,2
51,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3415,13535,4
52,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3414,13418,4
53,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3414,13353,4
54,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3414,13610,4
55,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3414,13648,4
56,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3414,13629,4
57,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3414,13496,4
58,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3414,13600,4
59,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3414,13616,4
60,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,2,3414,6687,2
61,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3414,13468,4
62,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3414,13564,4
63,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,3,3414,10203,3
64,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,2,3414,6759,2
65,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3414,13482,4
66,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3414,13545,4
67,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3414,13596,4
68,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3413,13451,4
69,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3413,9950,4
70,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3413,13613,4
71,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,2,3413,6788,2
72,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3413,13499,4
73,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,2,3413,6001,2
74,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3413,13408,4
75,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3413,13484,4
76,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3413,13477,4
77,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3413,13264,4
78,Neoverse-N1 BIOS virt-4.2 CPU @ 2.0GHz,4,3413,13576,4
