排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Neoverse-N1 BIOS virt-4.2,4,3561,14127,4
2,Neoverse-N1 BIOS virt-4.2,4,3558,14120,4
3,Neoverse-N1 BIOS virt-4.2,4,3556,13820,4
4,Neoverse-N1 BIOS virt-4.2,4,3556,14063,4
5,Neoverse-N1 BIOS virt-4.2,4,3554,14047,4
6,Neoverse-N1 BIOS virt-4.2,4,3554,14108,4
7,Neoverse-N1 BIOS virt-4.2,4,3554,13988,4
8,Neoverse-N1 BIOS virt-4.2,4,3554,14149,4
9,Neoverse-N1 BIOS virt-4.2,4,3553,14034,4
10,Neoverse-N1 BIOS virt-4.2,4,3552,13887,4
11,Neoverse-N1 BIOS virt-4.2,2,3551,7043,2
12,Neoverse-N1 BIOS virt-4.2,4,3551,14130,4
13,Neoverse-N1 BIOS virt-4.2,4,3550,14149,4
14,Neoverse-N1 BIOS virt-4.2,4,3550,14124,4
15,Neoverse-N1 BIOS virt-4.2,2,3550,7043,2
16,Neoverse-N1 BIOS virt-4.2,4,3549,14029,4
17,Neoverse-N1 BIOS virt-4.2,4,3545,14146,4
18,Neoverse-N1 BIOS virt-4.2,4,3544,14113,4
19,Neoverse-N1 BIOS virt-4.2,4,3542,13798,4
20,Neoverse-N1 BIOS virt-4.2,2,3542,7039,2
21,Neoverse-N1 BIOS virt-4.2,4,3539,14071,4
22,Neoverse-N1 BIOS virt-4.2,2,3538,7059,2
23,Neoverse-N1 BIOS virt-4.2,4,3536,14198,4
24,Neoverse-N1 BIOS virt-4.2,4,3535,12527,4
25,Neoverse-N1 BIOS virt-4.2,2,3532,6966,2
26,Neoverse-N1 BIOS virt-4.2,4,3532,12795,4
27,Neoverse-N1 BIOS virt-4.2,2,3530,7083,2
28,Neoverse-N1 BIOS virt-4.2,2,3529,7020,2
29,Neoverse-N1 BIOS virt-4.2,4,3527,9412,4
30,Neoverse-N1 BIOS virt-4.2,2,3527,6908,2
31,Neoverse-N1 BIOS virt-4.2,4,3516,13120,4
32,Neoverse-N1 BIOS virt-4.2,4,3510,13439,4
33,Neoverse-N1 BIOS virt-4.2,2,3507,6465,2
34,Neoverse-N1 BIOS virt-4.2,4,3504,11846,4
35,Neoverse-N1 BIOS virt-4.2,3,3498,10439,3
36,Neoverse-N1 BIOS virt-4.2,3,3496,10459,3
37,Neoverse-N1 BIOS virt-4.2,4,3479,14086,4
38,Neoverse-N1 BIOS virt-4.2,3,3471,10236,3
