排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,16,3415,54538,16
2,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,16,3406,54397,16
3,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,16,3415,54324,16
4,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,16,3408,54206,16
5,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,12,3420,40965,12
6,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,12,3414,40928,12
7,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,6,3372,20082,6
8,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3445,13761,4
9,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3412,13667,4
10,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3409,13660,4
11,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3422,13654,4
12,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3417,13650,4
13,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3410,13649,4
14,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3401,13649,4
15,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3411,13648,4
16,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3414,13644,4
17,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3418,13642,4
18,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3418,13639,4
19,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3422,13635,4
20,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3405,13634,4
21,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3416,13633,4
22,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3413,13633,4
23,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3398,13631,4
24,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3411,13629,4
25,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3412,13629,4
26,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3414,13628,4
27,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3410,13627,4
28,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3413,13626,4
29,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3419,13625,4
30,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3411,13625,4
31,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3417,13624,4
32,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3404,13622,4
33,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3417,13621,4
34,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3404,13620,4
35,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3401,13619,4
36,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3414,13619,4
37,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3392,13618,4
38,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3407,13615,4
39,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3407,13614,4
40,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3406,13614,4
41,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3413,13614,4
42,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3412,13612,4
43,Neoverse-N1 BIOS virt-7.2 CPU @ 2.0GHz,4,3409,13612,4
