排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Neoverse-N1 BIOS virt-rhel8.5.0 CPU @ 2.0GHz,2,3404,6786,2
2,Neoverse-N1 BIOS virt-rhel8.5.0 CPU @ 2.0GHz,1,3400,3400,1
3,Neoverse-N1 BIOS virt-rhel8.5.0 CPU @ 2.0GHz,1,3307,3307,1
4,Neoverse-N1 BIOS virt-rhel8.5.0 CPU @ 2.0GHz,1,3259,3259,1
5,Neoverse-N1 BIOS virt-rhel8.5.0 CPU @ 2.0GHz,1,3246,3246,1
6,Neoverse-N1 BIOS virt-rhel8.5.0 CPU @ 2.0GHz,1,3059,3059,1
7,Neoverse-N1 BIOS virt-rhel8.5.0 CPU @ 2.0GHz,1,2502,2502,1
8,Neoverse-N1 BIOS virt-rhel8.5.0 CPU @ 2.0GHz,1,2124,2124,1
9,Neoverse-N1 BIOS virt-rhel8.5.0 CPU @ 2.0GHz,1,1947,1947,1
10,Neoverse-N1 BIOS virt-rhel8.5.0 CPU @ 2.0GHz,1,1760,1760,1
11,Neoverse-N1 BIOS virt-rhel8.5.0 CPU @ 2.0GHz,1,1504,1504,1
