排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Neoverse-N1,22,3437,74369,22
2,Neoverse-N1,16,3498,55771,16
3,Neoverse-N1,16,3501,55727,16
4,Neoverse-N1,16,3502,55678,16
5,Neoverse-N1,16,3492,55676,16
6,Neoverse-N1,16,3346,53865,16
7,Neoverse-N1,16,3350,53820,16
8,Neoverse-N1,16,3350,53658,16
9,Neoverse-N1,16,3361,53644,16
10,Neoverse-N1,12,3509,41844,12
11,Neoverse-N1,16,3340,39471,16
12,Neoverse-N1,18,3182,39277,18
13,Neoverse-N1,10,3484,34522,10
14,Neoverse-N1,10,3442,34102,10
15,Neoverse-N1,10,3327,33043,10
16,Neoverse-N1,10,3316,32626,10
17,Neoverse-N1,10,3238,32546,10
18,Neoverse-N1,10,3274,32439,10
19,Neoverse-N1,10,3299,32427,10
20,Neoverse-N1,16,3363,32402,16
21,Neoverse-N1,10,3265,31851,10
22,Neoverse-N1,10,3290,31742,10
23,Neoverse-N1,10,3077,31146,10
24,Neoverse-N1,10,2687,30760,10
25,Neoverse-N1,10,2740,30395,10
26,Neoverse-N1,16,3324,28797,16
27,Neoverse-N1,16,3349,28654,16
28,Neoverse-N1,8,3505,27963,8
29,Neoverse-N1,16,3366,26909,16
30,Neoverse-N1,8,3329,26800,8
31,Neoverse-N1,8,3335,26687,8
32,Neoverse-N1,8,3467,25867,8
33,Neoverse-N1,8,3029,23752,8
34,Neoverse-N1,6,3498,20254,6
35,Neoverse-N1,6,3418,20245,6
36,Neoverse-N1,6,3342,20115,6
37,Neoverse-N1,6,3244,20016,6
38,Neoverse-N1,6,3350,19989,6
39,Neoverse-N1,6,3369,19977,6
40,Neoverse-N1,6,3365,19962,6
41,Neoverse-N1,6,3352,19958,6
42,Neoverse-N1,6,3336,19930,6
43,Neoverse-N1,6,3338,19909,6
44,Neoverse-N1,6,3330,19905,6
45,Neoverse-N1,6,3332,19883,6
46,Neoverse-N1,6,3326,19859,6
47,Neoverse-N1,6,3290,19853,6
48,Neoverse-N1,6,3337,19815,6
49,Neoverse-N1,6,3325,19802,6
50,Neoverse-N1,6,3340,19788,6
51,Neoverse-N1,6,3343,19772,6
52,Neoverse-N1,6,3301,19763,6
53,Neoverse-N1,6,3288,19749,6
54,Neoverse-N1,6,3297,19731,6
55,Neoverse-N1,6,3307,19721,6
56,Neoverse-N1,6,3326,19718,6
57,Neoverse-N1,6,3291,19705,6
58,Neoverse-N1,6,3320,19698,6
59,Neoverse-N1,6,3253,19693,6
60,Neoverse-N1,6,3308,19692,6
61,Neoverse-N1,6,3288,19677,6
62,Neoverse-N1,6,3312,19676,6
63,Neoverse-N1,6,3296,19673,6
64,Neoverse-N1,6,2984,19664,6
65,Neoverse-N1,6,3286,19645,6
66,Neoverse-N1,6,3305,19645,6
67,Neoverse-N1,6,3307,19631,6
68,Neoverse-N1,6,3312,19620,6
69,Neoverse-N1,6,3270,19615,6
70,Neoverse-N1,6,3308,19607,6
71,Neoverse-N1,6,3336,19595,6
72,Neoverse-N1,6,3282,19551,6
73,Neoverse-N1,6,3289,19536,6
74,Neoverse-N1,6,3316,19517,6
75,Neoverse-N1,6,3325,19510,6
76,Neoverse-N1,6,3293,19502,6
77,Neoverse-N1,6,3323,19495,6
78,Neoverse-N1,6,3329,19476,6
79,Neoverse-N1,6,3237,19444,6
80,Neoverse-N1,6,3269,19282,6
81,Neoverse-N1,6,3226,19191,6
82,Neoverse-N1,6,3297,19182,6
83,Neoverse-N1,6,3141,19083,6
84,Neoverse-N1,6,3315,19004,6
85,Neoverse-N1,6,3161,18871,6
86,Neoverse-N1,6,3276,18829,6
87,Neoverse-N1,6,2964,18795,6
88,Neoverse-N1,6,3342,18667,6
89,Neoverse-N1,6,3348,18326,6
90,Neoverse-N1,6,3218,17829,6
91,Neoverse-N1,5,3348,16750,5
92,Neoverse-N1,5,3370,16708,5
93,Neoverse-N1,4,3508,14041,4
94,Neoverse-N1,4,3507,14039,4
95,Neoverse-N1,4,3508,14036,4
96,Neoverse-N1,4,3506,14035,4
97,Neoverse-N1,4,3511,14034,4
98,Neoverse-N1,4,3501,14034,4
99,Neoverse-N1,4,3507,14033,4
100,Neoverse-N1,4,3509,14032,4
101,Neoverse-N1,4,3502,14031,4
102,Neoverse-N1,4,3514,14030,4
103,Neoverse-N1,4,3509,14030,4
104,Neoverse-N1,4,3514,14028,4
105,Neoverse-N1,4,3500,14028,4
106,Neoverse-N1,4,3515,14028,4
107,Neoverse-N1,4,3487,14028,4
108,Neoverse-N1,4,3514,14028,4
109,Neoverse-N1,4,3518,14027,4
110,Neoverse-N1,4,3503,14026,4
111,Neoverse-N1,4,3509,14026,4
112,Neoverse-N1,4,3510,14025,4
113,Neoverse-N1,4,3505,14025,4
114,Neoverse-N1,4,3508,14024,4
115,Neoverse-N1,4,3514,14023,4
116,Neoverse-N1,4,3494,14023,4
117,Neoverse-N1,4,3506,14022,4
118,Neoverse-N1,4,3502,14022,4
119,Neoverse-N1,4,3502,14021,4
120,Neoverse-N1,4,3505,14021,4
121,Neoverse-N1,4,3502,14020,4
122,Neoverse-N1,4,3488,14019,4
123,Neoverse-N1,4,3489,14019,4
124,Neoverse-N1,4,3507,14018,4
125,Neoverse-N1,4,3505,14018,4
126,Neoverse-N1,4,3483,14018,4
127,Neoverse-N1,4,3433,14016,4
128,Neoverse-N1,4,3511,14016,4
129,Neoverse-N1,4,3514,14016,4
130,Neoverse-N1,4,3512,14016,4
131,Neoverse-N1,4,3502,14015,4
132,Neoverse-N1,4,3516,14014,4
133,Neoverse-N1,4,3511,14013,4
134,Neoverse-N1,4,3483,14012,4
135,Neoverse-N1,4,3497,14012,4
