排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,QEMU Virtual CPU version (cpu64-rhel6),2,1066,2058,2
2,QEMU Virtual CPU version (cpu64-rhel6),2,1035,1925,2
3,QEMU Virtual CPU version (cpu64-rhel6),2,962,1889,2
4,QEMU Virtual CPU version (cpu64-rhel6),1,954,954,1
5,QEMU Virtual CPU version (cpu64-rhel6),2,941,1804,2
6,QEMU Virtual CPU version (cpu64-rhel6),2,928,1441,2
7,QEMU Virtual CPU version (cpu64-rhel6),2,924,1807,2
8,QEMU Virtual CPU version (cpu64-rhel6),2,924,1844,2
9,QEMU Virtual CPU version (cpu64-rhel6),2,920,1881,2
10,QEMU Virtual CPU version (cpu64-rhel6),2,917,1821,2
11,QEMU Virtual CPU version (cpu64-rhel6),1,917,917,1
12,QEMU Virtual CPU version (cpu64-rhel6),1,917,917,1
13,QEMU Virtual CPU version (cpu64-rhel6),2,905,1706,2
14,QEMU Virtual CPU version (cpu64-rhel6),1,902,902,1
15,QEMU Virtual CPU version (cpu64-rhel6),1,900,900,1
16,QEMU Virtual CPU version (cpu64-rhel6) @ 2399.996 MHz,2,898,1790,2
17,QEMU Virtual CPU version (cpu64-rhel6),1,898,898,1
18,QEMU Virtual CPU version (cpu64-rhel6),2,885,1706,2
19,QEMU Virtual CPU version (cpu64-rhel6),1,885,885,1
20,QEMU Virtual CPU version (cpu64-rhel6),1,882,882,1
21,QEMU Virtual CPU version (cpu64-rhel6),2,880,1741,2
22,QEMU Virtual CPU version (cpu64-rhel6),1,880,880,1
23,QEMU Virtual CPU version (cpu64-rhel6),2,876,1625,2
24,QEMU Virtual CPU version (cpu64-rhel6),2,874,1626,2
25,QEMU Virtual CPU version (cpu64-rhel6),2,872,1818,2
26,QEMU Virtual CPU version (cpu64-rhel6),2,871,1717,2
27,QEMU Virtual CPU version (cpu64-rhel6),2,871,1613,2
28,QEMU Virtual CPU version (cpu64-rhel6),2,869,1694,2
29,QEMU Virtual CPU version (cpu64-rhel6),2,865,1751,2
30,QEMU Virtual CPU version (cpu64-rhel6),1,865,865,1
31,QEMU Virtual CPU version (cpu64-rhel6),1,865,865,1
32,QEMU Virtual CPU version (cpu64-rhel6),2,864,1693,2
33,QEMU Virtual CPU version (cpu64-rhel6),2,861,1668,2
34,QEMU Virtual CPU version (cpu64-rhel6),1,850,850,1
35,QEMU Virtual CPU version (cpu64-rhel6),1,844,844,1
36,QEMU Virtual CPU version (cpu64-rhel6),2,841,1636,2
37,QEMU Virtual CPU version (cpu64-rhel6),2,839,1672,2
38,QEMU Virtual CPU version (cpu64-rhel6),1,839,839,1
