排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,QEMU Virtual CPU version 1.5.3,1,1523,1523,1
2,QEMU Virtual CPU version 1.5.3,1,1495,1495,1
3,QEMU Virtual CPU version 1.5.3,1,1488,1488,1
4,QEMU Virtual CPU version 1.5.3,1,1471,1471,1
5,QEMU Virtual CPU version 1.5.3,1,1400,1400,1
6,QEMU Virtual CPU version 1.5.3,1,1336,1336,1
7,QEMU Virtual CPU version 1.5.3,1,1285,1285,1
8,QEMU Virtual CPU version 1.5.3,1,1192,1192,1
9,QEMU Virtual CPU version 1.5.3,1,1187,1187,1
10,QEMU Virtual CPU version 1.5.3,1,1160,1160,1
11,QEMU Virtual CPU version 1.5.3,1,1143,1143,1
12,QEMU Virtual CPU version 1.5.3 @ 2095.076 MHz,8,956,6215,8
13,QEMU Virtual CPU version 1.5.3 @ 2095.076 MHz,8,937,6348,8
14,QEMU Virtual CPU version 1.5.3 @ 2095.076 MHz,8,844,6571,8
15,QEMU Virtual CPU version 1.5.3,8,841,6562,8
16,QEMU Virtual CPU version 1.5.3 @ 2095.076 MHz,8,837,6504,8
17,QEMU Virtual CPU version 1.5.3 @ 2095.076 MHz,8,836,6427,8
18,QEMU Virtual CPU version 1.5.3 @ 2095.076 MHz,8,832,6952,8
19,QEMU Virtual CPU version 1.5.3 @ 2095.076 MHz,8,825,6569,8
20,QEMU Virtual CPU version 1.5.3,1,820,820,1
21,QEMU Virtual CPU version 1.5.3,1,660,660,1
22,QEMU Virtual CPU version 1.5.3,2,638,1259,2
23,QEMU Virtual CPU version 1.5.3,1,311,326,2
24,QEMU Virtual CPU version 1.5.3,1,307,334,2
