排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,QEMU Virtual CPU version 2.5+,32,6710,106478,32
2,QEMU Virtual CPU version 2.5+,24,4028,90043,24
3,QEMU Virtual CPU version 2.5+,16,4476,70788,16
4,QEMU Virtual CPU version 2.5+,16,4407,70404,16
5,QEMU Virtual CPU version 2.5+,16,4161,68129,16
6,QEMU Virtual CPU version 2.5+,16,4416,68035,16
7,QEMU Virtual CPU version 2.5+ @ 2449.996 MHz,16,3988,62528,16
8,QEMU Virtual CPU version 2.5+ @ 2449.996 MHz,16,3875,61461,16
9,QEMU Virtual CPU version 2.5+ @ 2449.996 MHz,16,3873,60691,16
10,QEMU Virtual CPU version 2.5+,18,4734,60162,18
11,QEMU Virtual CPU version 2.5+ @ 2449.996 MHz,16,3658,53976,16
12,QEMU Virtual CPU version 2.5+,12,4959,53560,12
13,QEMU Virtual CPU version 2.5+,12,5013,53200,12
14,QEMU Virtual CPU version 2.5+,12,5097,52875,12
15,QEMU Virtual CPU version 2.5+ @ 2594.064 MHz,128,1126,50889,128
16,QEMU Virtual CPU version 2.5+ @ 2449.996 MHz,16,3636,48792,16
17,QEMU Virtual CPU version 2.5+,12,4951,48772,12
18,QEMU Virtual CPU version 2.5+ @2449.996 MHz,16,3738,48452,16
19,QEMU Virtual CPU version 2.5+,8,6110,47439,8
20,QEMU Virtual CPU version 2.5+,8,6399,47408,8
21,QEMU Virtual CPU version 2.5+,8,6160,47109,8
22,QEMU Virtual CPU version 2.5+,12,4925,46353,12
23,QEMU Virtual CPU version 2.5+,16,5832,44482,16
24,QEMU Virtual CPU version 2.5+ @ 2449.996 MHz,16,3543,43882,16
25,QEMU Virtual CPU version 2.5+,12,4725,43452,12
26,QEMU Virtual CPU version 2.5+ @ 2194.842 MHz,45,1140,39720,45
27,QEMU Virtual CPU version 2.5+,16,2462,38960,16
28,QEMU Virtual CPU version 2.5+,12,4938,38838,12
