排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,QEMU Virtual CPU version 2.5+,32,6710,106478,32
2,QEMU Virtual CPU version 2.5+,8,6399,47408,8
3,QEMU Virtual CPU version 2.5+,3,6210,18192,3
4,QEMU Virtual CPU version 2.5+,2,6175,12238,2
5,QEMU Virtual CPU version 2.5+,3,6166,18170,3
6,QEMU Virtual CPU version 2.5+,4,6163,22978,4
7,QEMU Virtual CPU version 2.5+,8,6160,47109,8
8,QEMU Virtual CPU version 2.5+,8,6110,47439,8
9,QEMU Virtual CPU version 2.5+,4,6062,23677,4
10,QEMU Virtual CPU version 2.5+,6,6051,34188,6
11,QEMU Virtual CPU version 2.5+,2,6015,11803,2
12,QEMU Virtual CPU version 2.5+,2,5996,11770,2
13,QEMU Virtual CPU version 2.5+,6,5931,34139,6
14,QEMU Virtual CPU version 2.5+,4,5915,22641,4
15,QEMU Virtual CPU version 2.5+,6,5854,28294,6
16,QEMU Virtual CPU version 2.5+,16,5832,44482,16
17,QEMU Virtual CPU version 2.5+,4,5786,23075,4
18,QEMU Virtual CPU version 2.5+,2,5775,11483,2
19,QEMU Virtual CPU version 2.5+,4,5772,21981,4
20,QEMU Virtual CPU version 2.5+,3,5767,17486,3
21,QEMU Virtual CPU version 2.5+,6,5755,33719,6
22,QEMU Virtual CPU version 2.5+,2,5735,11584,2
23,QEMU Virtual CPU version 2.5+,6,5733,30039,6
24,QEMU Virtual CPU version 2.5+,4,5681,17162,4
25,QEMU Virtual CPU version 2.5+,4,5673,19259,4
26,QEMU Virtual CPU version 2.5+,4,5651,22193,4
27,QEMU Virtual CPU version 2.5+,6,5627,31674,6
28,QEMU Virtual CPU version 2.5+,2,5599,11088,2
29,QEMU Virtual CPU version 2.5+,6,5576,31394,6
30,QEMU Virtual CPU version 2.5+,4,5570,21566,4
31,QEMU Virtual CPU version 2.5+,2,5566,11076,2
32,QEMU Virtual CPU version 2.5+,4,5564,22154,4
33,QEMU Virtual CPU version 2.5+,3,5554,16320,3
34,QEMU Virtual CPU version 2.5+,4,5531,19870,4
35,QEMU Virtual CPU version 2.5+,2,5513,10997,2
36,QEMU Virtual CPU version 2.5+,6,5504,31934,6
37,QEMU Virtual CPU version 2.5+,2,5501,10973,2
38,QEMU Virtual CPU version 2.5+,6,5479,32132,6
