排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,无法检测到CPU型号,4,11674,43298,4
2,无法检测到CPU型号,4,11090,39391,4
3,无法检测到CPU型号,2,10889,19173,2
4,无法检测到CPU型号,2,10423,20723,2
5,无法检测到CPU型号,2,9494,17799,2
6,无法检测到CPU型号,2,9446,18042,2
7,无法检测到CPU型号,2,9137,17869,2
8,无法检测到CPU型号,2,8885,17553,2
9,无法检测到CPU型号,2,8637,17187,2
10,无法检测到CPU型号,10,8472,65106,10
11,无法检测到CPU型号,4,8158,34199,4
12,无法检测到CPU型号,4,4181,16713,4
13,无法检测到CPU型号,4,3746,12545,4
14,无法检测到CPU型号,4,3570,14180,4
15,无法检测到CPU型号,4,3570,14136,4
16,无法检测到CPU型号,4,3569,14121,4
17,无法检测到CPU型号,4,3567,14249,4
18,无法检测到CPU型号,4,3567,14239,4
19,无法检测到CPU型号,2,3567,7106,2
20,无法检测到CPU型号,4,3567,14112,4
21,无法检测到CPU型号,4,3566,14232,4
22,无法检测到CPU型号,2,3565,7004,2
23,无法检测到CPU型号,4,3564,14076,4
24,无法检测到CPU型号,4,3562,14149,4
25,无法检测到CPU型号,4,3561,14136,4
26,无法检测到CPU型号,4,3560,14097,4
27,无法检测到CPU型号,3,3560,10490,3
28,无法检测到CPU型号,3,3559,10498,3
29,无法检测到CPU型号,4,3559,14090,4
30,无法检测到CPU型号,3,3559,10206,3
31,无法检测到CPU型号,2,3558,7089,2
32,无法检测到CPU型号,4,3557,14160,4
33,无法检测到CPU型号,4,3555,14218,4
34,无法检测到CPU型号,2,3555,6917,2
35,无法检测到CPU型号,2,3554,7061,2
36,无法检测到CPU型号,4,3554,13726,4
37,无法检测到CPU型号,4,3552,14000,4
38,无法检测到CPU型号,2,3551,7077,2
39,无法检测到CPU型号,4,3550,14101,4
40,无法检测到CPU型号,4,3549,14066,4
41,无法检测到CPU型号,2,3548,6969,2
42,无法检测到CPU型号,4,3548,14160,4
43,无法检测到CPU型号,4,3548,14023,4
44,无法检测到CPU型号,4,3547,14159,4
45,无法检测到CPU型号,4,3547,14146,4
46,无法检测到CPU型号,3,3547,10423,3
47,无法检测到CPU型号,4,3546,13940,4
48,无法检测到CPU型号,4,3545,14183,4
49,无法检测到CPU型号,4,3545,14138,4
50,无法检测到CPU型号,4,3545,13883,4
51,无法检测到CPU型号,4,3545,14162,4
52,无法检测到CPU型号,4,3545,13980,4
53,无法检测到CPU型号,4,3544,14149,4
54,无法检测到CPU型号,2,3544,6698,2
55,无法检测到CPU型号,4,3544,14164,4
56,无法检测到CPU型号,4,3544,13989,4
57,无法检测到CPU型号,4,3544,13945,4
58,无法检测到CPU型号,4,3543,13945,4
59,无法检测到CPU型号,4,3543,14150,4
60,无法检测到CPU型号,4,3543,14035,4
61,无法检测到CPU型号,4,3543,13880,4
62,无法检测到CPU型号,4,3543,14117,4
63,无法检测到CPU型号,4,3542,14163,4
64,无法检测到CPU型号,4,3542,13813,4
65,无法检测到CPU型号,4,3542,14140,4
66,无法检测到CPU型号,4,3542,13705,4
67,无法检测到CPU型号,4,3540,14159,4
68,无法检测到CPU型号,4,3539,14097,4
69,无法检测到CPU型号,4,3538,14109,4
70,无法检测到CPU型号,4,3538,13917,4
71,无法检测到CPU型号,4,3537,14160,4
72,无法检测到CPU型号,4,3536,14131,4
73,无法检测到CPU型号,4,3534,14033,4
74,无法检测到CPU型号,4,3534,10547,4
75,无法检测到CPU型号,4,3532,10524,4
76,无法检测到CPU型号,4,3530,14079,4
77,无法检测到CPU型号,4,3529,13729,4
78,无法检测到CPU型号,4,3529,13307,4
79,无法检测到CPU型号,4,3526,11811,4
80,无法检测到CPU型号,4,3526,12347,4
81,无法检测到CPU型号,4,3523,14102,4
82,无法检测到CPU型号,4,3522,14156,4
83,无法检测到CPU型号,4,3516,14017,4
84,无法检测到CPU型号,4,3514,13998,4
85,无法检测到CPU型号,4,3512,13763,4
86,无法检测到CPU型号,4,3512,14176,4
87,无法检测到CPU型号,4,3512,13791,4
88,无法检测到CPU型号,2,3512,6853,2
89,无法检测到CPU型号,4,3512,13863,4
90,无法检测到CPU型号,4,3511,10636,4
91,无法检测到CPU型号,2,3510,3998,2
92,无法检测到CPU型号,4,3510,13985,4
93,无法检测到CPU型号,4,3508,14048,4
94,无法检测到CPU型号,4,3505,14094,4
95,无法检测到CPU型号,2,3505,7008,2
96,无法检测到CPU型号,4,3501,14197,4
97,无法检测到CPU型号,4,3499,14040,4
98,无法检测到CPU型号,4,3498,14049,4
99,无法检测到CPU型号,2,3493,6914,2
100,无法检测到CPU型号,1,3492,6949,2
101,无法检测到CPU型号,1,3485,6877,2
102,无法检测到CPU型号,4,3482,13743,4
103,无法检测到CPU型号,4,3480,13859,4
104,无法检测到CPU型号,4,3477,13784,4
105,无法检测到CPU型号,2,3476,6963,2
106,无法检测到CPU型号,4,3472,13776,4
107,无法检测到CPU型号,4,3471,10381,4
108,无法检测到CPU型号,2,3465,5711,2
109,无法检测到CPU型号,4,3463,10530,4
110,无法检测到CPU型号,2,3461,7016,2
